Timestamp,Congestion Event,cwnd,sshthresh
2020-04-21 16:34:09.265275,Triple Duplicate,1460,1825
2020-04-21 16:34:09.265761,Retransmission,1460,1460
2020-04-21 16:34:09.265909,,2920,1460
2020-04-21 16:34:09.265910,,4380,1460
2020-04-21 16:34:09.265910,Triple Duplicate,1460,2190
2020-04-21 16:34:09.265911,,2190,2190
2020-04-21 16:34:09.265912,,3650,2190
2020-04-21 16:34:09.265913,Triple Duplicate,1460,1825
2020-04-21 16:34:09.265913,,1825,1825
2020-04-21 16:34:09.265914,,3285,1825
2020-04-21 16:34:09.265915,Triple Duplicate,1460,1642
2020-04-21 16:34:09.265915,,1642,1642
2020-04-21 16:34:09.265916,,3102,1642
2020-04-21 16:34:09.266443,Retransmission,1460,1551
2020-04-21 16:34:09.266553,,1551,1551
2020-04-21 16:34:09.267725,Retransmission,1460,1460
2020-04-21 16:34:09.267869,,2920,1460
2020-04-21 16:34:09.267870,,4380,1460
2020-04-21 16:34:09.267870,Triple Duplicate,1460,2190
2020-04-21 16:34:09.267871,,2190,2190
2020-04-21 16:34:09.267872,,3650,2190
2020-04-21 16:34:09.267873,Triple Duplicate,1460,1825
2020-04-21 16:34:09.267873,,1825,1825
2020-04-21 16:34:09.267874,,3285,1825
2020-04-21 16:34:09.267875,Triple Duplicate,1460,1642
2020-04-21 16:34:09.267876,,1642,1642
2020-04-21 16:34:09.271421,Retransmission,1460,1460
2020-04-21 16:34:09.271542,,2920,1460
2020-04-21 16:34:09.271542,,4380,1460
2020-04-21 16:34:09.271543,Triple Duplicate,1460,2190
2020-04-21 16:34:09.271544,,2190,2190
2020-04-21 16:34:09.271633,Retransmission,1460,1460
2020-04-21 16:34:09.271795,,2920,1460
2020-04-21 16:34:09.271796,,4380,1460
2020-04-21 16:34:09.271797,Triple Duplicate,1460,2190
2020-04-21 16:34:09.271798,,2190,2190
2020-04-21 16:34:09.271798,,3650,2190
2020-04-21 16:34:09.271799,Triple Duplicate,1460,1825
2020-04-21 16:34:09.271799,,1825,1825
2020-04-21 16:34:09.271800,,3285,1825
2020-04-21 16:34:09.271801,Triple Duplicate,1460,1642
2020-04-21 16:34:09.271802,,1642,1642
2020-04-21 16:34:09.271802,,3102,1642
2020-04-21 16:34:09.271803,Triple Duplicate,1460,1551
2020-04-21 16:34:09.271804,,1551,1551
2020-04-21 16:34:09.271805,,3011,1551
2020-04-21 16:34:09.271805,Triple Duplicate,1460,1505
2020-04-21 16:34:09.271806,,1505,1505
